"Season_End_Year","player_name","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Year","market_value_euro"
2024,"Mohamed Elneny","EGY","MF","31-324",1992,3,0,28,0.3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.26,0,0.26,0.26,0.26,2024,NA
2024,"Kai Havertz","GER","MF,FW","24-354",1999,37,30,2634,29.3,13,7,20,12,1,1,11,0,55,99,191,0.44,0.24,0.68,0.41,0.65,12.3,11.6,4.4,15.9,0.42,0.15,0.57,0.39,0.54,2024,6.5e+07
2024,"Gabriel Jesus","BRA","FW","27-057",1997,27,17,1478,16.4,4,5,9,4,0,0,6,0,38,42,155,0.24,0.3,0.55,0.24,0.55,6.3,6.3,3.8,10.1,0.39,0.23,0.62,0.39,0.62,2024,3.2e+07
2024,"Jorginho","ITA","MF","32-162",1991,24,10,921,10.2,0,2,2,0,0,0,1,0,8,101,8,0,0.2,0.2,0,0.2,0.1,0.1,1.4,1.5,0.01,0.13,0.14,0.01,0.14,2024,6e+06
2024,"Jakub Kiwior","POL","DF","24-105",2000,20,11,946,10.5,1,3,4,1,0,0,1,0,4,55,16,0.1,0.29,0.38,0.1,0.38,0.8,0.8,0.9,1.7,0.08,0.09,0.16,0.08,0.16,2024,2.8e+07
2024,"Gabriel Magalhães","BRA","DF","26-163",1997,36,34,3044,33.8,4,0,4,4,0,0,4,0,13,117,8,0.12,0,0.12,0.12,0.12,4.3,4.3,0.7,5,0.13,0.02,0.15,0.13,0.15,2024,7.5e+07
2024,"Gabriel Martinelli","BRA","FW","22-347",2001,35,24,2019,22.4,6,4,10,6,0,0,1,0,127,65,345,0.27,0.18,0.45,0.27,0.45,6.8,6.8,6.1,12.9,0.31,0.27,0.58,0.31,0.58,2024,5.5e+07
2024,"Reiss Nelson","ENG","FW","24-172",1999,15,1,268,3,0,0,0,0,0,0,1,0,9,5,26,0,0,0,0,0,0.2,0.2,0.6,0.8,0.07,0.2,0.27,0.07,0.27,2024,1.6e+07
2024,"Reiss Nelson","ENG","FW","24-172",1999,15,1,268,3,0,0,0,0,0,0,1,0,9,5,26,0,0,0,0,0,0.2,0.2,0.6,0.8,0.07,0.2,0.27,0.07,0.27,2024,1.6e+07
2024,"Eddie Nketiah","ENG","FW","25-000",1999,27,10,1082,12,5,2,7,5,0,0,3,0,22,20,77,0.42,0.17,0.58,0.42,0.58,4.5,4.5,0.8,5.4,0.38,0.07,0.45,0.38,0.45,2024,1.8e+07
