"Season_End_Year","player_name","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Year","market_value_euro"
2022,"Pierre-Emerick Aubameyang","GAB","FW","32",1989,14,12,1037,11.5,4,1,5,4,0,2,3,0,21,26,47,0.35,0.09,0.43,0.35,0.43,5.9,4.2,1,5.2,0.51,0.09,0.6,0.36,0.45,2022,4e+06
2022,"Folarin Balogun","ENG","FW","20",2001,2,1,70,0.8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.2,0.2,0,0.2,0.29,0,0.29,0.29,0.29,2022,NA
2022,"Calum Chambers","ENG","DF","26",1995,2,2,170,1.9,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0.1,0.1,0.1,0.2,0.04,0.05,0.08,0.04,0.08,2022,8e+06
2022,"Gabriel Dos Santos","BRA","DF","23",1997,35,35,3063,34,5,0,5,5,0,0,8,1,12,110,9,0.15,0,0.15,0.15,0.15,3.2,3.2,0.7,3.9,0.09,0.02,0.12,0.09,0.12,2022,NA
2022,"Mohamed Elneny","EGY","MF","29",1992,14,8,806,9,0,2,2,0,0,0,1,0,5,43,2,0,0.22,0.22,0,0.22,0.2,0.2,0.4,0.6,0.02,0.05,0.07,0.02,0.07,2022,6e+06
2022,"Rob Holding","ENG","DF","25",1995,15,9,845,9.4,1,0,1,1,0,0,4,1,4,23,0,0.11,0,0.11,0.11,0.11,0.4,0.4,0,0.4,0.04,0,0.04,0.04,0.04,2022,8e+06
2022,"Sead Kolašinac","BIH","DF","28",1993,2,1,91,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,NA
2022,"Alexandre Lacazette","FRA","FW","30",1991,30,20,1782,19.8,4,7,11,2,2,3,0,0,19,52,106,0.2,0.35,0.56,0.1,0.45,8.4,6,3,9.1,0.42,0.15,0.58,0.3,0.46,2022,NA
2022,"Bernd Leno","GER","GK","29",1992,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,1.2e+07
2022,"Ainsley Maitland-Niles","ENG","MF","23",1997,8,2,268,3,0,0,0,0,0,0,0,0,2,15,8,0,0,0,0,0,0.1,0.1,0.3,0.3,0.02,0.09,0.12,0.02,0.12,2022,8e+06
2022,"Ainsley Maitland-Niles","ENG","MF","23",1997,8,2,268,3,0,0,0,0,0,0,0,0,2,15,8,0,0,0,0,0,0.1,0.1,0.3,0.3,0.02,0.09,0.12,0.02,0.12,2022,8e+06
2022,"Pablo Marí","ESP","DF","27",1993,2,2,180,2,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.04,0.06,0.1,0.04,0.1,2022,NA
2022,"Martinelli","BRA","FW,MF","20",2001,29,21,1860,20.7,6,6,12,5,1,1,3,1,79,37,207,0.29,0.29,0.58,0.24,0.53,7.3,6.6,4.3,11,0.35,0.21,0.56,0.32,0.53,2022,NA
2022,"Reiss Nelson","ENG","FW","21",1999,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.1,0.1,0,0.1,0.24,0.21,0.45,0.24,0.45,2022,1.2e+07
2022,"Eddie Nketiah","ENG","FW","22",1999,21,8,835,9.3,5,1,6,5,0,0,3,0,27,21,66,0.54,0.11,0.65,0.54,0.65,4.4,4.4,2,6.4,0.47,0.22,0.69,0.47,0.69,2022,2.5e+07
2022,"Thomas Partey","GHA","MF","28",1993,24,23,2028,22.5,2,1,3,2,0,0,6,0,20,119,11,0.09,0.04,0.13,0.09,0.13,2.8,2.8,1,3.8,0.12,0.05,0.17,0.12,0.17,2022,3.5e+07
2022,"Nicolas Pépé","CIV","FW,MF","26",1995,20,5,696,7.7,1,2,3,1,0,0,0,0,20,17,97,0.13,0.26,0.39,0.13,0.39,2.6,2.6,1.7,4.3,0.34,0.22,0.56,0.34,0.56,2022,1.8e+07
2022,"Aaron Ramsdale","ENG","GK","23",1998,34,34,3060,34,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,4e+07
2022,"Bukayo Saka","ENG","FW,MF","19",2001,38,36,2978,33.1,11,7,18,9,2,2,6,0,140,101,388,0.33,0.21,0.54,0.27,0.48,10.3,8.7,7.5,16.3,0.31,0.23,0.54,0.26,0.49,2022,1.2e+08
2022,"Albert Sambi Lokonga","BEL","MF","21",1999,19,12,1134,12.6,0,0,0,0,0,0,5,0,28,84,16,0,0,0,0,0,0.6,0.6,1,1.6,0.05,0.08,0.13,0.05,0.13,2022,1.5e+07
2022,"Albert Sambi Lokonga","BEL","MF","21",1999,19,12,1134,12.6,0,0,0,0,0,0,5,0,28,84,16,0,0,0,0,0,0.6,0.6,1,1.6,0.05,0.08,0.13,0.05,0.13,2022,1.5e+07
2022,"Emile Smith Rowe","ENG","MF,FW","21",2000,33,21,1921,21.3,10,2,12,10,0,0,1,0,65,85,139,0.47,0.09,0.56,0.47,0.56,6,6,2,8,0.28,0.09,0.38,0.28,0.38,2022,3.5e+07
2022,"Cédric Soares","POR","DF","29",1991,21,16,1486,16.5,1,1,2,1,0,0,3,0,17,84,56,0.06,0.06,0.12,0.06,0.12,0.6,0.6,1.6,2.1,0.03,0.09,0.13,0.03,0.13,2022,3e+06
2022,"Cédric Soares","POR","DF","29",1991,21,16,1486,16.5,1,1,2,1,0,0,3,0,17,84,56,0.06,0.06,0.12,0.06,0.12,0.6,0.6,1.6,2.1,0.03,0.09,0.13,0.03,0.13,2022,3e+06
2022,"Nuno Tavares","POR","DF","21",2000,22,13,1176,13.1,1,1,2,1,0,0,2,0,47,42,91,0.08,0.08,0.15,0.08,0.15,1.9,1.9,1.1,2.9,0.14,0.08,0.22,0.14,0.22,2022,NA
2022,"Kieran Tierney","SCO","DF","24",1997,22,22,1915,21.3,1,3,4,1,0,0,0,0,62,105,128,0.05,0.14,0.19,0.05,0.19,0.6,0.6,1.8,2.4,0.03,0.09,0.11,0.03,0.11,2022,2.5e+07
2022,"Takehiro Tomiyasu","JPN","DF","22",1998,21,20,1679,18.7,0,1,1,0,0,0,2,0,32,96,41,0,0.05,0.05,0,0.05,0.6,0.6,1,1.6,0.03,0.05,0.09,0.03,0.09,2022,2.5e+07
2022,"Ben White","ENG","DF","23",1997,32,32,2880,32,0,0,0,0,0,0,3,0,38,124,4,0,0,0,0,0,1,1,1.3,2.3,0.03,0.04,0.07,0.03,0.07,2022,5.5e+07
2022,"Granit Xhaka","SUI","MF,DF","28",1992,27,27,2327,25.9,1,2,3,1,0,0,10,1,39,230,67,0.04,0.08,0.12,0.04,0.12,1.4,1.4,2.3,3.7,0.05,0.09,0.14,0.05,0.14,2022,2e+07
2022,"Martin Ødegaard","NOR","MF,FW","22",1998,36,32,2785,30.9,7,4,11,7,0,0,4,0,57,224,146,0.23,0.13,0.36,0.23,0.36,4.8,4.8,6.3,11.1,0.15,0.2,0.36,0.15,0.36,2022,9e+07
2022,"Cameron Archer","ENG","FW,MF","20",2001,3,0,27,0.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.15,0,0.15,0.15,0.15,2022,1.2e+07
2022,"Leon Bailey","JAM","FW,MF","23",1997,18,7,761,8.5,1,2,3,1,0,0,3,0,34,24,61,0.12,0.24,0.35,0.12,0.35,1.5,1.5,0.8,2.3,0.18,0.09,0.27,0.18,0.27,2022,2.8e+07
2022,"Emi Buendía","ARG","MF,FW","24",1996,35,22,1899,21.1,4,6,10,4,0,0,1,0,40,117,84,0.19,0.28,0.47,0.19,0.47,3.4,3.4,5.8,9.1,0.16,0.27,0.43,0.16,0.43,2022,NA
2022,"Matty Cash","POL","DF","23",1997,38,38,3377,37.5,4,3,7,4,0,0,8,0,89,96,174,0.11,0.08,0.19,0.11,0.19,2.7,2.7,2.8,5.4,0.07,0.07,0.14,0.07,0.14,2022,2.5e+07
2022,"Calum Chambers","ENG","DF","26",1995,11,9,831,9.2,1,0,1,1,0,0,1,0,3,31,1,0.11,0,0.11,0.11,0.11,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,2022,8e+06
2022,"Carney Chukwuemeka","ENG","MF,FW","17",2003,12,2,301,3.3,0,1,1,0,0,0,0,0,9,7,14,0,0.3,0.3,0,0.3,0.6,0.6,1,1.6,0.19,0.28,0.47,0.19,0.47,2022,1.5e+07
2022,"Philippe Coutinho","BRA","MF,FW","29",1992,19,16,1329,14.8,5,3,8,5,0,0,0,0,48,94,62,0.34,0.2,0.54,0.34,0.54,3.8,3.8,2.9,6.7,0.25,0.2,0.45,0.25,0.45,2022,1e+07
2022,"Keinan Davis","ENG","FW","23",1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,3e+06
2022,"Lucas Digne","FRA","DF","28",1993,16,16,1269,14.1,0,4,4,0,0,0,2,0,34,48,121,0,0.28,0.28,0,0.28,0.5,0.5,2.2,2.7,0.04,0.16,0.19,0.04,0.19,2022,1.5e+07
2022,"Anwar El Ghazi","NED","FW,MF","26",1995,9,4,386,4.3,1,1,2,0,1,1,2,0,13,5,38,0.23,0.23,0.47,0,0.23,1.1,0.3,0.4,0.7,0.25,0.1,0.35,0.06,0.16,2022,NA
2022,"Kortney Hause","ENG","DF","26",1995,7,4,397,4.4,1,0,1,1,0,0,0,0,2,14,3,0.23,0,0.23,0.23,0.23,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03,2022,2200000
2022,"Danny Ings","ENG","FW","29",1992,30,22,1898,21.1,7,6,13,6,1,1,4,0,24,39,117,0.33,0.28,0.62,0.28,0.57,7.1,6.3,1.6,8,0.34,0.08,0.41,0.3,0.38,2022,1.2e+07
2022,"Danny Ings","ENG","FW","29",1992,30,22,1898,21.1,7,6,13,6,1,1,4,0,24,39,117,0.33,0.28,0.62,0.28,0.57,7.1,6.3,1.6,8,0.34,0.08,0.41,0.3,0.38,2022,1.2e+07
2022,"Tim Iroegbunam","ENG","MF","18",2003,3,1,92,1,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0.1,0.1,0,0.1,0.11,0,0.11,0.11,0.11,2022,5e+06
2022,"Ezri Konsa","ENG","DF","23",1997,29,29,2477,27.5,2,0,2,2,0,0,6,2,8,45,7,0.07,0,0.07,0.07,0.07,1.6,1.6,0.3,1.9,0.06,0.01,0.07,0.06,0.07,2022,2.5e+07
2022,"Douglas Luiz","BRA","MF","23",1998,34,31,2715,30.2,2,3,5,2,0,0,7,0,28,105,44,0.07,0.1,0.17,0.07,0.17,2,2,2.5,4.4,0.07,0.08,0.15,0.07,0.15,2022,4e+07
2022,"Emiliano Martínez","ARG","GK","28",1992,36,36,3240,36,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,2.8e+07
2022,"John McGinn","SCO","MF","26",1994,35,35,3090,34.3,3,4,7,3,0,0,8,0,52,196,67,0.09,0.12,0.2,0.09,0.2,1.5,1.5,5.3,6.8,0.04,0.15,0.2,0.04,0.2,2022,2.7e+07
2022,"Tyrone Mings","ENG","DF","28",1993,36,35,3189,35.4,1,3,4,1,0,0,11,0,23,91,17,0.03,0.08,0.11,0.03,0.11,1.6,1.6,1.6,3.3,0.05,0.05,0.09,0.05,0.09,2022,2.2e+07
2022,"Wesley Moraes","BRA","FW","24",1996,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,NA
2022,"Marvelous Nakamba","ZIM","MF","27",1994,16,10,904,10,0,0,0,0,0,0,5,0,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,4e+06
2022,"Robin Olsen","SWE","GK","31",1990,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,1500000
2022,"Jaden Philogene Bidace","ENG","FW","19",2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,NA
2022,"Jacob Ramsey","ENG","MF","20",2001,34,29,2467,27.4,6,1,7,6,0,0,6,0,91,132,92,0.22,0.04,0.26,0.22,0.26,4,4,1.9,5.9,0.15,0.07,0.22,0.15,0.22,2022,4.2e+07
2022,"Morgan Sanson","FRA","MF","26",1994,10,3,356,4,0,0,0,0,0,0,0,0,16,21,10,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,2022,6e+06
2022,"Jed Steer","ENG","GK","28",1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,5e+05
2022,"Matt Targett","ENG","DF","25",1995,17,17,1431,15.9,1,1,2,1,0,0,2,0,19,83,79,0.06,0.06,0.13,0.06,0.13,0.5,0.5,1.7,2.2,0.03,0.11,0.14,0.03,0.14,2022,1.3e+07
2022,"Bertrand Traoré","BFA","MF,FW","25",1995,9,1,220,2.4,0,0,0,0,0,0,0,0,12,12,13,0,0,0,0,0,0.3,0.3,0,0.3,0.13,0,0.13,0.13,0.13,2022,1.2e+07
2022,"Trézéguet","EGY","FW","26",1994,1,0,11,0.1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0.38,0,0.38,0.38,0.38,2022,NA
2022,"Axel Tuanzebe","ENG","DF","23",1997,9,6,508,5.6,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02,2022,4500000
2022,"Ollie Watkins","ENG","FW","25",1995,35,33,2952,32.8,11,2,13,10,1,1,7,0,74,60,226,0.34,0.06,0.4,0.3,0.37,11.6,11,3.4,14.4,0.35,0.1,0.46,0.34,0.44,2022,4e+07
2022,"Ashley Young","ENG","DF,FW","36",1985,24,10,1250,13.9,0,2,2,0,0,0,2,0,27,45,57,0,0.14,0.14,0,0.14,0.4,0.4,1,1.4,0.03,0.07,0.1,0.03,0.1,2022,6e+05
2022,"Kristoffer Ajer","NOR","DF","23",1998,24,23,1995,22.2,1,3,4,1,0,0,5,0,30,82,29,0.05,0.14,0.18,0.05,0.18,0.8,0.8,1.7,2.5,0.04,0.08,0.11,0.04,0.11,2022,1.6e+07
2022,"Shandon Baptiste","GRN","MF","23",1998,22,9,910,10.1,1,0,1,1,0,0,2,1,14,35,29,0.1,0,0.1,0.1,0.1,0.7,0.7,0.5,1.3,0.07,0.05,0.12,0.07,0.12,2022,3e+06
2022,"Mads Bech Sørensen","DEN","DF","22",1999,11,9,835,9.3,0,0,0,0,0,0,3,0,9,20,4,0,0,0,0,0,0.1,0.1,0.4,0.4,0.01,0.04,0.05,0.01,0.05,2022,2500000
2022,"Mads Bidstrup","DEN","MF","20",2001,4,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,NA
2022,"Sergi Canós","ESP","DF,FW","24",1997,31,25,2083,23.1,3,2,5,3,0,0,8,1,52,59,100,0.13,0.09,0.22,0.13,0.22,3,3,1.7,4.6,0.13,0.07,0.2,0.13,0.2,2022,9e+06
2022,"Josh Dasilva","ENG","MF,FW","22",1998,9,2,257,2.9,0,0,0,0,0,0,0,1,10,11,10,0,0,0,0,0,0.1,0.1,0.1,0.2,0.03,0.05,0.08,0.03,0.08,2022,1.6e+07
2022,"Christian Eriksen","DEN","MF","29",1992,11,10,939,10.4,1,4,5,1,0,0,1,0,21,82,22,0.1,0.38,0.48,0.1,0.48,1.3,1.3,3.5,4.8,0.12,0.34,0.46,0.12,0.46,2022,2.2e+07
2022,"Álvaro Fernández","ESP","GK","23",1998,12,12,1080,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,NA
2022,"Marcus Forss","FIN","FW,MF","22",1999,7,1,209,2.3,0,1,1,0,0,0,0,0,2,6,12,0,0.43,0.43,0,0.43,0.3,0.3,0.2,0.6,0.14,0.1,0.24,0.14,0.24,2022,NA
2022,"Tariqe Fosu","GHA","DF","25",1995,1,0,17,0.2,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0.22,0,0.22,0.22,0.22,2022,1800000
2022,"Saman Ghoddos","IRN","MF,DF","27",1993,17,4,536,6,1,1,2,1,0,0,2,0,7,25,40,0.17,0.17,0.34,0.17,0.34,0.5,0.5,1.2,1.7,0.08,0.2,0.28,0.08,0.28,2022,2e+06
2022,"Charlie Goode","ENG","DF","25",1995,6,4,450,5,0,0,0,0,0,0,3,0,5,18,9,0,0,0,0,0,0.1,0.1,1,1,0.01,0.19,0.2,0.01,0.2,2022,6e+05
2022,"Rico Henry","ENG","DF","24",1997,34,33,2776,30.8,3,0,3,3,0,0,2,0,61,81,131,0.1,0,0.1,0.1,0.1,1.5,1.5,1.7,3.3,0.05,0.06,0.11,0.05,0.11,2022,2.8e+07
2022,"Vitaly Janelt","GER","MF","23",1998,31,27,2298,25.5,4,0,4,4,0,0,3,0,25,103,60,0.16,0,0.16,0.16,0.16,2.4,2.4,1.9,4.2,0.09,0.07,0.17,0.09,0.17,2022,2e+07
2022,"Pontus Jansson","SWE","DF","30",1991,37,37,3321,36.9,3,1,4,3,0,0,7,0,4,67,5,0.08,0.03,0.11,0.08,0.11,3,3,0.3,3.3,0.08,0.01,0.09,0.08,0.09,2022,2500000
2022,"Mathias Jensen","DEN","MF","25",1996,31,19,1601,17.8,0,1,1,0,0,0,0,0,14,103,54,0,0.06,0.06,0,0.06,2.9,2.9,3.2,6.2,0.17,0.18,0.35,0.17,0.35,2022,2.2e+07
2022,"Mathias Jørgensen","DEN","DF","31",1990,8,6,518,5.8,1,0,1,1,0,0,2,0,5,18,1,0.17,0,0.17,0.17,0.17,0.1,0.1,0.3,0.4,0.02,0.05,0.07,0.02,0.07,2022,NA
2022,"Jonas Lössl","DEN","GK","32",1989,2,2,180,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,NA
