"Season_End_Year","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G_plus_A","G_minus_PK","PK","PKatt","CrdY","CrdR","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_90","Ast_Per_90","G_plus_A_Per_90","G_minus_PK_Per_90","G_plus_A_minus_PK_Per_90","xG_Expected","npxG_Expected","xAG_Expected","npxG_plus_xAG_Expected","xG_Per_90","xAG_Per_90","xG_plus_xAG_Per_90","npxG_Per_90","npxG_plus_xAG_Per_90","Year","market_value_euro"
2020,"Kasper Schmeichel","DEN","GK","32",1986,38,38,3420,38,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0.01,0.01,0,0.01,2020,6e+06
2020,"Çağlar Söyüncü","TUR","DF","23",1996,34,34,3036,33.7,1,1,2,1,0,0,4,1,22,125,5,0.03,0.03,0.06,0.03,0.06,2.1,2.1,0.8,2.9,0.06,0.02,0.09,0.06,0.09,2020,4.5e+07
2020,"Luke Thomas","ENG","MF,DF","18",2001,3,3,267,3,0,1,1,0,0,0,0,0,6,13,16,0,0.34,0.34,0,0.34,0,0,0.6,0.6,0,0.21,0.21,0,0.21,2020,5e+06
2020,"Youri Tielemans","BEL","MF","22",1997,37,32,2828,31.4,3,6,9,3,0,0,2,0,46,215,123,0.1,0.19,0.29,0.1,0.29,2.7,2.7,4.5,7.2,0.09,0.14,0.23,0.09,0.23,2020,5.5e+07
2020,"Jamie Vardy","ENG","FW","32",1987,35,34,3033,33.7,23,5,28,19,4,5,2,0,61,44,200,0.68,0.15,0.83,0.56,0.71,19.2,15.3,5.9,21.2,0.57,0.18,0.75,0.45,0.63,2020,7e+06
2020,"Adrián","ESP","GK","32",1987,11,9,875,9.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,1e+06
2020,"Trent Alexander-Arnold","ENG","DF","20",1998,38,35,3175,35.3,4,13,17,4,0,0,5,0,98,247,226,0.11,0.37,0.48,0.11,0.48,2.8,2.8,10.9,13.7,0.08,0.31,0.39,0.08,0.39,2020,7.5e+07
2020,"Alisson","BRA","GK","26",1992,29,29,2543,28.3,0,1,1,0,0,0,0,1,0,1,0,0,0.04,0.04,0,0.04,0,0,0.3,0.3,0,0.01,0.01,0,0.01,2020,6e+07
2020,"Harvey Elliott","ENG","DF","16",2003,2,0,8,0.1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,1.5e+07
2020,"Fabinho","BRA","MF","25",1993,28,22,2079,23.1,2,3,5,2,0,0,6,0,19,129,23,0.09,0.13,0.22,0.09,0.22,0.4,0.4,1.6,2.1,0.02,0.07,0.09,0.02,0.09,2020,6e+07
2020,"Roberto Firmino","BRA","FW","27",1991,38,34,2988,33.2,9,8,17,9,0,0,0,0,90,111,218,0.27,0.24,0.51,0.27,0.51,14,14,6.5,20.5,0.42,0.2,0.62,0.42,0.62,2020,5e+07
2020,"Joe Gomez","ENG","DF","22",1997,28,22,2004,22.3,0,0,0,0,0,0,7,0,17,115,11,0,0,0,0,0,0,0,0.2,0.2,0,0.01,0.01,0,0.01,2020,3e+07
2020,"Jordan Henderson","ENG","MF","29",1990,30,26,2238,24.9,4,5,9,4,0,0,2,0,51,197,77,0.16,0.2,0.36,0.16,0.36,1.1,1.1,3.1,4.2,0.04,0.13,0.17,0.04,0.17,2020,2e+07
2020,"Curtis Jones","ENG","MF","18",2001,6,1,126,1.4,1,0,1,1,0,0,0,0,4,9,7,0.71,0,0.71,0.71,0.71,0.4,0.4,0,0.4,0.32,0,0.32,0.32,0.32,2020,3e+07
2020,"Naby Keïta","GUI","MF","24",1995,18,9,815,9.1,2,3,5,2,0,0,1,0,35,69,36,0.22,0.33,0.55,0.22,0.55,1.6,1.6,2.7,4.4,0.18,0.3,0.48,0.18,0.48,2020,3.2e+07
2020,"Adam Lallana","ENG","MF,FW","31",1988,15,3,382,4.2,1,1,2,1,0,0,1,0,9,23,17,0.24,0.24,0.47,0.24,0.47,0.8,0.8,0.6,1.3,0.18,0.14,0.31,0.18,0.31,2020,4e+06
