"Season_End_Year","player_name","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Year","market_value_euro"
2023,"Gabriel Dos Santos","BRA","DF","24",1997,38,38,3409,37.9,3,0,3,3,0,0,5,0,18,153,16,0.08,0,0.08,0.08,0.08,5.1,5.1,0.3,5.3,0.13,0.01,0.14,0.13,0.14,2023,NA
2023,"Mohamed Elneny","EGY","MF","30",1992,5,1,113,1.3,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,3500000
2023,"Rob Holding","ENG","DF","26",1995,14,6,566,6.3,1,0,1,1,0,0,0,0,3,24,2,0.16,0,0.16,0.16,0.16,0.3,0.3,0,0.3,0.05,0,0.05,0.05,0.05,2023,5e+06
2023,"Rob Holding","ENG","DF","26",1995,14,6,566,6.3,1,0,1,1,0,0,0,0,3,24,2,0.16,0,0.16,0.16,0.16,0.3,0.3,0,0.3,0.05,0,0.05,0.05,0.05,2023,5e+06
2023,"Gabriel Jesus","BRA","FW","25",1997,26,24,2064,22.9,11,6,17,10,1,1,6,0,44,64,194,0.48,0.26,0.74,0.44,0.7,14,13.2,3.9,17.1,0.61,0.17,0.78,0.58,0.75,2023,6.5e+07
2023,"Jorginho","ITA","MF","30",1991,14,9,855,9.5,0,1,1,0,0,0,0,0,15,99,8,0,0.11,0.11,0,0.11,0.2,0.2,0.2,0.4,0.02,0.02,0.04,0.02,0.04,2023,1.2e+07
2023,"Jakub Kiwior","POL","DF","22",2000,7,5,427,4.7,1,0,1,1,0,0,0,0,0,6,6,0.21,0,0.21,0.21,0.21,0.1,0.1,0,0.1,0.02,0.01,0.03,0.02,0.03,2023,3e+07
2023,"Marquinhos","BRA","MF","19",2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,NA
2023,"Martinelli","BRA","FW","21",2001,36,34,2789,31,15,5,20,15,0,0,3,0,124,94,350,0.48,0.16,0.65,0.48,0.65,9.3,9.3,9.1,18.4,0.3,0.29,0.59,0.3,0.59,2023,NA
2023,"Reiss Nelson","ENG","FW","22",1999,11,0,212,2.4,3,2,5,3,0,0,0,0,19,6,34,1.27,0.85,2.12,1.27,2.12,1.1,1.1,1.4,2.5,0.46,0.58,1.04,0.46,1.04,2023,1.5e+07
2023,"Eddie Nketiah","ENG","FW","23",1999,30,9,1089,12.1,4,1,5,4,0,0,3,0,32,15,82,0.33,0.08,0.41,0.33,0.41,8.2,8.2,1.3,9.5,0.68,0.11,0.78,0.68,0.78,2023,3e+07
2023,"Ethan Nwaneri","ENG","FW","15",2007,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,8e+06
2023,"Thomas Partey","GHA","MF","29",1993,33,28,2483,27.6,3,0,3,3,0,0,5,0,34,231,35,0.11,0,0.11,0.11,0.11,2.2,2.2,1.5,3.8,0.08,0.06,0.14,0.08,0.14,2023,1.8e+07
2023,"Aaron Ramsdale","ENG","GK","24",1998,38,38,3420,38,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,2.5e+07
2023,"Bukayo Saka","ENG","FW","20",2001,38,37,3181,35.3,14,11,25,12,2,3,6,0,179,109,520,0.4,0.31,0.71,0.34,0.65,11.2,9.1,8.5,17.6,0.32,0.24,0.56,0.26,0.5,2023,1.4e+08
2023,"William Saliba","FRA","DF","21",2001,27,27,2415,26.8,2,1,3,2,0,0,4,0,13,99,2,0.07,0.04,0.11,0.07,0.11,0.9,0.9,1.2,2.1,0.03,0.04,0.08,0.03,0.08,2023,8e+07
2023,"Albert Sambi Lokonga","BEL","MF","22",1999,6,2,198,2.2,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,2023,1.5e+07
2023,"Albert Sambi Lokonga","BEL","MF","22",1999,6,2,198,2.2,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,2023,1.5e+07
2023,"Emile Smith Rowe","ENG","MF,FW","22",2000,12,0,172,1.9,0,2,2,0,0,0,0,0,2,7,11,0,1.05,1.05,0,1.05,0.3,0.3,0.7,1,0.14,0.36,0.5,0.14,0.5,2023,2.2e+07
2023,"Cédric Soares","POR","DF","30",1991,2,0,29,0.3,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023,2e+06
2023,"Kieran Tierney","SCO","DF","25",1997,27,6,795,8.8,0,1,1,0,0,0,0,0,25,36,31,0,0.11,0.11,0,0.11,0.3,0.3,0.3,0.7,0.04,0.04,0.08,0.04,0.08,2023,1.2e+07
2023,"Takehiro Tomiyasu","JPN","DF","23",1998,21,6,663,7.4,0,1,1,0,0,0,2,0,14,51,28,0,0.14,0.14,0,0.14,0.2,0.2,0.6,0.8,0.03,0.08,0.11,0.03,0.11,2023,3.5e+07
2023,"Leandro Trossard","BEL","FW","27",1994,20,10,931,10.3,1,10,11,1,0,0,0,0,36,57,102,0.1,0.97,1.06,0.1,1.06,1.8,1.8,4.7,6.6,0.18,0.46,0.64,0.18,0.64,2023,3.5e+07
2023,"Fabio Vieira","POR","MF,FW","22",2000,22,3,514,5.7,1,2,3,1,0,0,0,0,8,35,40,0.18,0.35,0.53,0.18,0.53,0.8,0.8,2.5,3.3,0.15,0.44,0.58,0.15,0.58,2023,NA
