Year,Squad,Age,Poss,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_plus_A,G_minus_PK,PK,PKatt,CrdY,CrdR,PrgC_Progression,PrgP_Progression,Gls_Per_90,Ast_Per_90,G_plus_A_Per_90,G_minus_PK_Per_90,G_plus_A_minus_PK_Per_90,xG_Expected,npxG_Expected,xAG_Expected,npxG_plus_xAG_Expected,xG_Per_90,xAG_Per_90,xG_plus_xAG_Per_90,npxG_Per_90,npxG_plus_xAG_Per_90,Gls_mean,Gls_std,Gls_max,Gls_sum,Ast_mean,Ast_std,Ast_max,Ast_sum,xG_Expected_mean,xG_Expected_std,xG_Expected_max,xG_Expected_sum,xAG_Expected_mean,xAG_Expected_std,xAG_Expected_max,xAG_Expected_sum,market_value_euro_mean,market_value_euro_std,market_value_euro_max,market_value_euro_sum,attack_core_ratio,eng_player_ratio
2020,Aston Villa,25.7,44.1,38,418,3420,38,40,32,72,39,1,3,70,1,639,1247,1.05,0.84,1.89,1.03,1.87,44.3,41.8,34.2,76.0,1.16,0.9,2.06,1.1,2.0,1.7777777777777777,2.2110831935702664,8.0,32.0,1.5,1.917412472118426,6.0,27.0,2.0555555555555554,2.3278928169742397,6.8,37.0,1.5333333333333334,2.0992996030889475,7.4,27.6,14155555.555555556,17158953.149962686,65000000.0,254800000.0,0.05555555555555555,0.5
2020,Bournemouth,25.2,44.1,38,418,3420,38,38,24,62,34,4,4,78,3,601,1256,1.0,0.63,1.63,0.89,1.53,44.8,41.7,30.6,72.3,1.18,0.8,1.98,1.1,1.9,4.0,3.40587727318528,8.0,24.0,2.0,1.6733200530681511,4.0,12.0,4.516666666666667,3.3629847853754358,9.9,27.1,2.683333333333333,1.244856082712643,4.1,16.099999999999998,16833333.333333332,8998147.957589198,32000000.0,101000000.0,0.5,0.3333333333333333
2020,Brighton,26.4,52.2,38,418,3420,38,35,24,59,34,1,2,59,2,669,1675,0.92,0.63,1.55,0.89,1.53,45.4,43.8,31.6,75.4,1.2,0.83,2.03,1.15,1.99,1.4545454545454546,2.364967989862356,10.0,32.0,0.9545454545454546,1.2527027058580456,4.0,21.0,1.8227272727272728,2.9497266730813294,13.4,40.1,1.190909090909091,1.3107282929763353,5.3,26.2,10272727.272727273,7393251.866409879,25000000.0,226000000.0,0.045454545454545456,0.2727272727272727
2020,Burnley,28.0,41.9,38,418,3420,38,41,30,71,38,3,3,67,0,437,890,1.08,0.79,1.87,1.0,1.79,47.4,45.3,32.4,77.7,1.25,0.85,2.1,1.19,2.04,1.875,3.593976442141304,14.0,30.0,1.6875,1.9906029237394383,6.0,27.0,2.2125,3.908431057769004,15.7,35.4,1.89375,2.166554484275282,7.7,30.3,7362500.0,7273410.479273117,25000000.0,117800000.0,0.0625,0.625
2020,Chelsea,25.5,60.4,38,418,3420,38,69,46,115,62,7,7,60,0,983,1897,1.82,1.21,3.03,1.63,2.84,69.2,64.4,46.7,111.1,1.82,1.23,3.05,1.7,2.92,2.6538461538461537,3.856862016637958,15.0,69.0,1.8846153846153846,2.1601282013236727,7.0,49.0,2.819230769230769,3.7606402891815347,16.4,73.3,1.7961538461538462,2.029675987783423,7.7,46.7,24663461.53846154,17285390.118202757,75000000.0,641250000.0,0.038461538461538464,0.34615384615384615
2020,Crystal Palace,29.4,44.8,38,418,3420,38,29,20,49,26,3,3,62,2,596,1223,0.76,0.53,1.29,0.68,1.21,35.8,33.6,26.0,59.5,0.94,0.68,1.63,0.88,1.57,1.125,2.028331934073565,9.0,27.0,0.7916666666666666,0.931532942621143,3.0,19.0,1.4416666666666667,1.9381561535032,7.5,34.6,1.0041666666666667,1.195091106829596,4.0,24.1,5927083.333333333,8800777.87034694,45000000.0,142250000.0,0.041666666666666664,0.375
2020,Everton,25.5,49.0,38,418,3420,38,42,32,74,41,1,1,76,3,623,1430,1.11,0.84,1.95,1.08,1.92,50.8,50.0,38.1,88.1,1.34,1.0,2.34,1.32,2.32,2.0476190476190474,3.7613320841982363,13.0,43.0,1.3333333333333333,1.7416467303484175,7.0,28.0,2.4761904761904763,3.5910868496744497,15.3,52.0,1.7142857142857142,1.9220524743840148,6.7,36.0,18119047.61904762,14599575.98862443,55000000.0,380500000.0,0.09523809523809523,0.47619047619047616
2020,Leicester City,26.1,57.1,38,418,3420,38,65,48,113,60,5,7,43,3,739,1612,1.71,1.26,2.97,1.58,2.84,62.2,56.7,44.9,101.6,1.64,1.18,2.82,1.49,2.67,2.9545454545454546,5.056605983193082,23.0,65.0,2.1818181818181817,2.129975712724569,8.0,48.0,2.859090909090909,4.367047503302878,19.2,62.9,2.059090909090909,2.024059826640058,6.4,45.3,20554545.454545453,19785798.833957538,60000000.0,452200000.0,0.045454545454545456,0.45454545454545453
2020,Liverpool,26.6,62.9,38,418,3420,38,83,69,152,78,5,5,38,1,967,1941,2.18,1.82,4.0,2.05,3.87,68.9,65.0,53.0,118.0,1.81,1.39,3.21,1.71,3.1,3.4583333333333335,5.124359274193653,19.0,83.0,2.8333333333333335,4.0931190049161525,13.0,68.0,2.920833333333333,5.000432952269726,19.0,70.1,2.2,3.163789692345448,10.9,52.800000000000004,33625000.0,28228589.42401418,100000000.0,807000000.0,0.08333333333333333,0.3333333333333333
2020,Manchester City,26.9,66.2,38,418,3420,38,100,69,169,94,6,11,64,4,1199,2460,2.63,1.82,4.45,2.47,4.29,92.0,83.6,68.4,152.0,2.42,1.8,4.22,2.2,4.0,4.947368421052632,6.484800041554664,20.0,94.0,3.1052631578947367,4.920419323166418,20.0,59.0,4.589473684210526,6.045374240491844,18.2,87.2,3.2052631578947373,4.77813000197666,20.0,60.900000000000006,44894736.84210526,27908371.37818071,100000000.0,853000000.0,0.10526315789473684,0.21052631578947367
