Year,Squad,Comp,Player
2020,Aston Villa,Premier League,Pepe Reina
2020,Aston Villa,Premier League,Mbwana Samatta
2020,Aston Villa,Premier League,Jed Steer
2020,Aston Villa,Premier League,Matt Targett
2020,Aston Villa,Premier League,Neil Taylor
2020,Aston Villa,Premier League,Trézéguet
2020,Aston Villa,Premier League,Indiana Vassilev
2020,Atalanta,Serie A,Guilherme Arana
2020,Atalanta,Serie A,Musa Barrow
2020,Atalanta,Serie A,Raoul Bellanova
2020,Atalanta,Serie A,Mattia Caldara
2020,Atalanta,Serie A,Timothy Castagne
2020,Atalanta,Serie A,Ebrima Colley
2020,Atalanta,Serie A,Lennart-Marten Czyborra
2020,Atalanta,Serie A,Jacopo Da Riva
2020,Atalanta,Serie A,Amad Diallo
2020,Atalanta,Serie A,Berat Djimsiti
2020,Atalanta,Serie A,Remo Freuler
2020,Atalanta,Serie A,Pierluigi Gollini
2020,Atalanta,Serie A,Papu Gómez
2020,Atalanta,Serie A,Robin Gosens
2020,Atalanta,Serie A,Hans Hateboer
2020,Atalanta,Serie A,Josip Iličić
2020,Atalanta,Serie A,Simon Kjær
2020,Atalanta,Serie A,José Luis Palomino
2020,Atalanta,Serie A,Ruslan Malinovskyi
2020,Atalanta,Serie A,Andrea Masiello
2020,Atalanta,Serie A,Luis Muriel
2020,Atalanta,Serie A,Mario Pašalić
2020,Atalanta,Serie A,Roberto Piccoli
2020,Atalanta,Serie A,Marten de Roon
2020,Atalanta,Serie A,Francesco Rossi
2020,Atalanta,Serie A,Marco Sportiello
2020,Atalanta,Serie A,Bosko Sutalo
2020,Atalanta,Serie A,Adrien Tameze
2020,Atalanta,Serie A,Rafael Tolói
2020,Atalanta,Serie A,Duván Zapata
2020,Athletic Club,La Liga,Aritz Aduriz
2020,Athletic Club,La Liga,Yeray Álvarez
2020,Athletic Club,La Liga,Mikel Balenziaga
2020,Athletic Club,La Liga,Yuri Berchiche
2020,Athletic Club,La Liga,Ander Capa
2020,Athletic Club,La Liga,Iñigo Córdoba
2020,Athletic Club,La Liga,Beñat Etxebarria
2020,Athletic Club,La Liga,Dani García
2020,Athletic Club,La Liga,Raúl García
2020,Athletic Club,La Liga,Ibai Gómez
2020,Athletic Club,La Liga,Iago Herrerín
2020,Athletic Club,La Liga,Kenan Kodro
2020,Athletic Club,La Liga,Larra
2020,Athletic Club,La Liga,Iñigo Lekue
2020,Athletic Club,La Liga,Unai López
2020,Athletic Club,La Liga,Óscar de Marcos
2020,Athletic Club,La Liga,Iñigo Martínez
2020,Athletic Club,La Liga,Iker Muniain
2020,Athletic Club,La Liga,Unai Núñez
2020,Athletic Club,La Liga,Mikel San José
2020,Athletic Club,La Liga,Oihan Sancet
2020,Athletic Club,La Liga,Unai Simón
2020,Athletic Club,La Liga,Unai Vencedor Paris
2020,Athletic Club,La Liga,Mikel Vesga
2020,Athletic Club,La Liga,Asier Villalibre
2020,Athletic Club,La Liga,Iñaki Williams
2020,Atlético Madrid,La Liga,Antonio Adán
2020,Atlético Madrid,La Liga,Santiago Arias
2020,Atlético Madrid,La Liga,Sergio Camello
2020,Atlético Madrid,La Liga,Yannick Carrasco
2020,Atlético Madrid,La Liga,Óscar Clemente
2020,Atlético Madrid,La Liga,Ángel Correa
2020,Atlético Madrid,La Liga,Diego Costa
2020,Atlético Madrid,La Liga,Felipe
2020,Atlético Madrid,La Liga,João Félix
2020,Atlético Madrid,La Liga,Mario Hermoso
2020,Atlético Madrid,La Liga,Héctor Herrera
2020,Atlético Madrid,La Liga,Koke
2020,Atlético Madrid,La Liga,Thomas Lemar
2020,Atlético Madrid,La Liga,Marcos Llorente
2020,Atlético Madrid,La Liga,Renan Lodi
2020,Atlético Madrid,La Liga,José María Giménez
2020,Atlético Madrid,La Liga,Álvaro Morata
2020,Atlético Madrid,La Liga,Toni Moya
2020,Atlético Madrid,La Liga,Saúl Ñíguez
2020,Atlético Madrid,La Liga,Jan Oblak
2020,Atlético Madrid,La Liga,Thomas Partey
2020,Atlético Madrid,La Liga,Darío Poveda
2020,Atlético Madrid,La Liga,Rodrigo Riquelme
2020,Atlético Madrid,La Liga,Manuel Sánchez
2020,Atlético Madrid,La Liga,Ivan Šaponjić
2020,Atlético Madrid,La Liga,Stefan Savić
2020,Atlético Madrid,La Liga,Kieran Trippier
2020,Atlético Madrid,La Liga,Germán Valera
2020,Atlético Madrid,La Liga,Vitolo
2020,Atlético Madrid,La Liga,Šime Vrsaljko
2020,Augsburg,Bundesliga,Daniel Baier
2020,Augsburg,Bundesliga,Noah Joel Sarenren Bazee
2020,Augsburg,Bundesliga,Sergio Córdova
2020,Augsburg,Bundesliga,Ohis Felix Uduokhai
2020,Augsburg,Bundesliga,Alfreð Finnbogason
2020,Augsburg,Bundesliga,Raphael Framberger
2020,Augsburg,Bundesliga,Jeffrey Gouweleeuw
2020,Augsburg,Bundesliga,Michael Gregoritsch
2020,Augsburg,Bundesliga,Carlos Gruezo
2020,Augsburg,Bundesliga,André Hahn
2020,Augsburg,Bundesliga,Iago
2020,Augsburg,Bundesliga,Tin Jedvaj
2020,Augsburg,Bundesliga,Fredrik Jensen
2020,Augsburg,Bundesliga,Rani Khedira
2020,Augsburg,Bundesliga,Tomáš Koubek
2020,Augsburg,Bundesliga,Stephan Lichtsteiner
2020,Augsburg,Bundesliga,Eduard Löwen
2020,Augsburg,Bundesliga,Andreas Luthe
2020,Augsburg,Bundesliga,Philipp Max
2020,Augsburg,Bundesliga,Jan Morávek
2020,Augsburg,Bundesliga,Florian Niederlechner
2020,Augsburg,Bundesliga,Reece Oxford
2020,Augsburg,Bundesliga,Mads Pedersen
2020,Augsburg,Bundesliga,Marco Richter
2020,Augsburg,Bundesliga,Julian Schieber
2020,Augsburg,Bundesliga,Marek Suchý
2020,Augsburg,Bundesliga,Georg Teigl
2020,Augsburg,Bundesliga,Ruben Vargas
2020,Barcelona,La Liga,Jordi Alba
2020,Barcelona,La Liga,Carles Aleñá
2020,Barcelona,La Liga,Ronald Araújo
2020,Barcelona,La Liga,Martin Braithwaite
2020,Barcelona,La Liga,Sergio Busquets
2020,Barcelona,La Liga,Álex Collado
2020,Barcelona,La Liga,Ousmane Dembélé
2020,Barcelona,La Liga,Ansu Fati
2020,Barcelona,La Liga,Junior Firpo
2020,Barcelona,La Liga,Antoine Griezmann
2020,Barcelona,La Liga,Frenkie de Jong
2020,Barcelona,La Liga,Clément Lenglet
2020,Barcelona,La Liga,Arthur Melo
2020,Barcelona,La Liga,Lionel Messi
2020,Barcelona,La Liga,Neto
2020,Barcelona,La Liga,Carles Pérez
2020,Barcelona,La Liga,Gerard Piqué
2020,Barcelona,La Liga,Riqui Puig
