"Season_End_Year","player_name","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90_Playing","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per","Ast_Per","G+A_Per","G_minus_PK_Per","G+A_minus_PK_Per","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","xG_Per","xAG_Per","xG+xAG_Per","npxG_Per","npxG+xAG_Per","Year","market_value_euro"
2021,"Josh Onomah","ENG","MF","23",1997,11,4,374,4.2,0,0,0,0,0,0,1,0,8,19,14,0,0,0,0,0,0.4,0.4,0,0.4,0.09,0.01,0.1,0.09,0.1,2021,NA
2021,"Tim Ream","USA","DF","32",1987,7,7,630,7,0,0,0,0,0,0,0,0,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,NA
2021,"Harrison Reed","ENG","MF","25",1995,31,26,2247,25,0,2,2,0,0,0,5,0,24,127,16,0,0.08,0.08,0,0.08,0.4,0.4,1.7,2.1,0.02,0.07,0.08,0.02,0.08,2021,NA
2021,"Bobby Reid","JAM","MF,FW","27",1993,33,28,2372,26.4,5,2,7,5,0,0,7,0,44,67,138,0.19,0.08,0.27,0.19,0.27,3.8,3.8,1.1,4.9,0.14,0.04,0.19,0.14,0.19,2021,NA
2021,"Antonee Robinson","USA","DF","22",1997,28,24,2162,24,0,0,0,0,0,0,4,1,98,82,145,0,0,0,0,0,0.4,0.4,1.9,2.3,0.02,0.08,0.1,0.02,0.1,2021,NA
2021,"Marek Rodák","SVK","GK","23",1996,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021,NA
2021,"Kenny Tete","NED","DF,MF","24",1995,22,18,1481,16.5,0,1,1,0,0,0,3,0,38,71,73,0,0.06,0.06,0,0.06,0.3,0.3,1.4,1.7,0.02,0.09,0.1,0.02,0.1,2021,NA
2021,"Andre-Frank Zambo Anguissa","CMR","MF","24",1995,36,29,2587,28.7,0,3,3,0,0,0,6,0,81,156,68,0,0.1,0.1,0,0.1,1.6,1.6,2.5,4,0.05,0.09,0.14,0.05,0.14,2021,NA
2021,"Ezgjan Alioski","MKD","DF,MF","28",1992,36,29,2461,27.3,2,3,5,2,0,0,7,0,77,132,122,0.07,0.11,0.18,0.07,0.18,1.6,1.6,3.3,4.9,0.06,0.12,0.18,0.06,0.18,2021,NA
2021,"Luke Ayling","ENG","DF","28",1991,38,38,3399,37.8,0,0,0,0,0,0,7,0,110,224,110,0,0,0,0,0,1.7,1.7,3.2,4.9,0.05,0.08,0.13,0.05,0.13,2021,4e+06
