Value_Range,Number_of_Players,MAPE,Avg_True_Value,Avg_Predicted_Value
0-10M,117,10.907400058249298,4326282.051282051,4317804.750534188
10-30M,136,2.4441328146772605,18705882.352941178,18417910.68382353
30-60M,86,2.8784420449915746,40732558.13953488,40027565.79069767
60-100M,17,1.9303592326788936,72352941.1764706,73047982.35294117
100M+,8,8.312507954545456,125000000.0,125920930.0
