Player,Position,Nation,Age_2024,Value_2024_Euro,Base_Prediction_2024,Predicted_2025_Value_Euro,Growth_Factor,Growth_Percentage_2024_2025,Data_Source_Year
Nathan Aké,DF,NED,29,25000000.0,24236452.0,26934453.83664,1.11132,11.132000000000009,2024
Wilson Odobert,"MF,FW",FRA,20,20000000.0,19847050.0,26793517.5,1.35,35.00000000000001,2024
Neco Williams,DF,WAL,23,20000000.0,20899664.0,26544245.253120005,1.2700800000000003,27.00800000000003,2024
Jarell Quansah,DF,ENG,21,20000000.0,19772578.0,26458082.07336,1.33812,33.812,2024
Axel Disasi,DF,FRA,26,22000000.0,21548084.0,26390369.436480004,1.2247200000000003,22.472000000000026,2024
John Stones,"DF,MF",ENG,30,25000000.0,23519064.0,26137206.204480004,1.11132,11.132000000000009,2024
Edson Álvarez,MF,MEX,27,25000000.0,23476262.0,26114993.8488,1.1124,11.240000000000006,2024
André Onana,GK,CMR,28,25000000.0,23461758.0,26098859.599200003,1.1124,11.240000000000006,2024
Joe Willock,MF,ENG,25,22000000.0,21878652.0,25519259.692800004,1.1664,16.64000000000001,2024
Carney Chukwuemeka,"MF,FW",ENG,21,18000000.0,19797370.0,25229768.327999998,1.2744,27.439999999999998,2024
Ibrahim Sangaré,MF,CIV,27,24000000.0,22511842.0,25042173.0408,1.1124,11.240000000000006,2024
Alex Scott,MF,ENG,21,20000000.0,19409048.0,24734890.7712,1.2744,27.439999999999998,2024
Billy Gilmour,MF,SCO,23,20000000.0,20446232.0,24731762.227200005,1.2096000000000002,20.960000000000022,2024
Facundo Buonanotte,"FW,MF",ARG,20,20000000.0,17893828.0,24639801.156,1.377,37.7,2024
Beto,FW,GNB,26,22000000.0,20663228.0,24583620.921984002,1.1897280000000001,18.972800000000014,2024
Lesley Ugochukwu,MF,FRA,20,18000000.0,18168196.0,24527064.6,1.35,35.00000000000001,2024
Ola Aina,DF,NGA,28,22000000.0,20817470.0,24315221.309400007,1.1680200000000003,16.802000000000028,2024
Oleksandr Zinchenko,DF,UKR,28,20000000.0,20715200.0,24195767.904000007,1.1680200000000003,16.802000000000028,2024
Marcos Senesi,DF,ARG,27,22000000.0,20667092.0,24139576.797840007,1.1680200000000003,16.802000000000028,2024
Rodrigo Muniz,FW,BRA,23,20000000.0,19497802.0,24056232.125184003,1.2337920000000002,23.379200000000022,2024
Leandro Trossard,"FW,MF",BEL,30,22000000.0,21723344.0,23451827.035392,1.079568,7.956800000000008,2024
Tosin Adarabioyo,DF,ENG,27,20000000.0,20019544.0,23383227.782880004,1.1680200000000003,16.802000000000028,2024
Caoimhín Kelleher,GK,IRL,26,20000000.0,19905660.0,23217961.824,1.1664,16.64000000000001,2024
Joe Gomez,DF,ENG,27,20000000.0,19875500.0,23214981.510000005,1.1680200000000003,16.802000000000028,2024
Vitaly Janelt,"MF,DF",GER,26,20000000.0,19883158.0,23191715.491200004,1.1664,16.64000000000001,2024
Richarlison,FW,BRA,27,20000000.0,19891162.0,22569467.180976003,1.134648,13.464800000000011,2024
Marcus Tavernier,FW,ENG,25,18000000.0,18795290.0,22361282.781120002,1.1897280000000001,18.972800000000014,2024
Robert Sánchez,GK,ESP,27,20000000.0,20039678.0,22292137.8072,1.1124,11.240000000000006,2024
James Garner,MF,ENG,23,18000000.0,18362244.0,22210970.342400003,1.2096000000000002,20.960000000000022,2024
Sean Longstaff,MF,ENG,27,20000000.0,19946440.0,22188419.856000002,1.1124,11.240000000000006,2024
Orel Mangala,MF,BEL,26,18000000.0,18650766.0,21754253.4624,1.1664,16.64000000000001,2024
Takehiro Tomiyasu,DF,JPN,26,18000000.0,17761824.0,21753261.089280006,1.2247200000000003,22.472000000000026,2024
Kristoffer Ajer,DF,NOR,26,18000000.0,17744962.0,21732609.860640004,1.2247200000000003,22.472000000000026,2024
Dean Henderson,GK,ENG,27,20000000.0,19463656.0,21651370.9344,1.1124,11.240000000000006,2024
Eddie Nketiah,FW,ENG,25,18000000.0,18184492.0,21634599.298176,1.1897280000000001,18.972800000000014,2024
Tyler Adams,MF,USA,25,18000000.0,18048934.0,21052276.6176,1.1664,16.64000000000001,2024
Nicolás Domínguez,"MF,FW",ARG,26,18000000.0,17706790.0,20653199.856000002,1.1664,16.64000000000001,2024
Virgil van Dijk,DF,NED,33,23000000.0,21395978.0,20623583.194199998,0.9639,-3.610000000000002,2024
Jean-Ricner Bellegarde,"MF,FW",FRA,26,18000000.0,17630090.0,20563736.976000004,1.1664,16.64000000000001,2024
Andreas Pereira,MF,BRA,28,18000000.0,18310308.0,20368386.619200002,1.1124,11.240000000000006,2024
Andrew Robertson,DF,SCO,30,18000000.0,18044734.0,20053473.78888,1.11132,11.132000000000009,2024
Lloyd Kelly,DF,ENG,26,16000000.0,16358217.0,20034235.524240006,1.2247200000000003,22.472000000000026,2024
Reiss Nelson,FW,ENG,25,16000000.0,16664127.0,19825778.487456,1.1897280000000001,18.972800000000014,2024
Emiliano Martínez,GK,ARG,32,20000000.0,19850950.0,19723903.92,0.9936000000000001,-0.639999999999985,2024
Cesare Casadei,"FW,MF",ITA,21,15000000.0,15142965.0,19684158.48792,1.2998880000000002,29.988800000000015,2024
Nathan Patterson,DF,SCO,23,15000000.0,15488269.0,19671340.691520005,1.2700800000000003,27.00800000000003,2024
Konstantinos Mavropanos,DF,GRE,27,17000000.0,16838864.0,19668129.929280005,1.1680200000000003,16.802000000000028,2024
