Player,Position,Nation,Age_2024,Value_2024_Euro,Base_Prediction_2024,Predicted_2025_Value_Euro,Growth_Factor,Growth_Percentage_2024_2025,Data_Source_Year
Boubacar Traoré,MF,MLI,23,5000000.0,4666552.0,6010518.976,1.288,28.800000000000004,2024
Tyrone Mings,DF,ENG,31,5000000.0,5394783.5,5993064.99015,1.1109,11.09,2024
Daniel Jebbison,FW,ENG,21,4000000.0,4191967.75,5802270.241485,1.38414,38.413999999999994,2024
Vladimír Coufal,DF,CZE,32,5000000.0,5169601.5,5742910.30635,1.1109,11.09,2024
Pablo Sarabia,"MF,FW",ESP,32,5000000.0,5384560.0,5696864.48,1.058,5.800000000000005,2024
Michael Keane,DF,ENG,31,5000000.0,5055567.5,5616229.93575,1.1109,11.09,2024
Timo Werner,FW,GER,28,7000000.0,4638877.5,5604645.406725,1.2081899999999999,20.81899999999999,2024
Joël Veltman,DF,NED,32,4000000.0,4828824.5,5364341.13705,1.1109,11.09,2024
Divin Mubama,FW,ENG,20,4000000.0,3524511.0,5167814.253749999,1.4662499999999998,46.624999999999986,2024
Raúl Jiménez,FW,MEX,33,5000000.0,5098626.0,5083585.0533,0.9970499999999999,-0.2950000000000119,2024
Mason Holgate,DF,ENG,28,4000000.0,4023483.0,5004106.394175,1.243725,24.372499999999995,2024
Danny Welbeck,"FW,MF",ENG,34,5000000.0,4970746.0,4956082.299299999,0.9970499999999999,-0.2950000000000119,2024
Sasa Kalajdzic,FW,AUT,27,4000000.0,4078212.0,4927254.95628,1.2081899999999999,20.81899999999999,2024
Naouirou Ahamada,"MF,FW",FRA,22,3500000.0,3550961.75,4818655.094749999,1.3569999999999998,35.699999999999974,2024
Jamaal Lascelles,DF,ENG,31,4000000.0,4307031.5,4784681.29335,1.1109,11.09,2024
Kieran Trippier,DF,ENG,34,4000000.0,4519338.5,4638536.052937499,1.0263749999999998,2.6374999999999815,2024
Mark Travers,GK,IRL,25,4000000.0,3701011.25,4596655.9725,1.242,24.2,2024
Kyle Walker,DF,ENG,34,4000000.0,4454694.5,4572187.067437499,1.0263749999999998,2.6374999999999815,2024
Christian Eriksen,MF,DEN,32,4000000.0,4156792.0,4397885.936,1.058,5.800000000000005,2024
Carlos Vinícius,FW,BRA,29,3500000.0,3535087.75,4063724.772135,1.14954,14.954,2024
James Hill,DF,ENG,22,3000000.0,2815747.0,4012017.112949999,1.4248499999999997,42.48499999999997,2024
Jeffrey Schlupp,"FW,MF",GHA,32,3000000.0,3577979.75,3861212.6270099995,1.07916,7.91599999999999,2024
Harry Toffolo,DF,ENG,29,3000000.0,3163225.25,3743202.5995874996,1.18335,18.33499999999999,2024
Dane Scarlett,FW,ENG,20,2000000.0,1936157.25,2838890.5678124996,1.4662499999999998,46.624999999999986,2024
Charlie Taylor,DF,ENG,31,2200000.0,2273731.5,2525888.32335,1.1109,11.09,2024
Jordan Ayew,"FW,MF",GHA,33,2500000.0,2465618.5,2458344.9254249996,0.9970499999999999,-0.2950000000000119,2024
Matt Doherty,"DF,MF",IRL,32,2000000.0,2117492.0,2352321.8628,1.1109,11.09,2024
Matt Turner,GK,USA,30,2500000.0,1982193.0,2233931.511,1.127,12.7,2024
Emil Krafth,DF,SWE,30,2000000.0,1812019.625,2144253.42324375,1.18335,18.33499999999999,2024
James McConnell,MF,ENG,20,2000000.0,1212305.875,1742689.6953125,1.4375,43.75,2024
Jason Steele,GK,ENG,34,1500000.0,1619698.875,1583255.6503124998,0.9774999999999999,-2.2500000000000075,2024
Willy Boly,DF,CIV,33,1500000.0,1474126.75,1513006.8430312497,1.0263749999999998,2.6374999999999815,2024
Daniel Bentley,GK,ENG,31,1500000.0,1406812.0,1488407.0960000001,1.058,5.800000000000005,2024
Omari Kellyman,FW,ENG,19,1500000.0,965575.3125,1415774.8019531248,1.4662499999999998,46.624999999999986,2024
Neto,GK,BRA,35,1500000.0,1409932.125,1378208.6521875,0.9774999999999999,-2.2500000000000075,2024
Craig Dawson,DF,ENG,34,1500000.0,1338937.25,1374251.7199687497,1.0263749999999998,2.6374999999999815,2024
Tom Cairney,MF,SCO,33,1500000.0,1313325.375,1283775.5540625,0.9774999999999999,-2.2500000000000075,2024
Kaelan Casey,DF,ENG,20,1000000.0,832167.4375,1248251.15625,1.5,50.0,2024
Michail Antonio,FW,JAM,34,700000.0,1237059.75,1233410.4237374999,0.9970499999999999,-0.2950000000000119,2024
Myles Peart-Harris,"DF,MF",ENG,22,900000.0,836460.0625,1191830.1200531248,1.4248499999999997,42.48499999999997,2024
Odeluga Offiah,DF,ENG,22,600000.0,794526.3125,1132080.8163656248,1.4248499999999997,42.48499999999997,2024
Nathaniel Clyne,DF,ENG,33,1000000.0,1071693.25,1099959.1594687498,1.0263749999999998,2.6374999999999815,2024
Willian,FW,BRA,36,750000.0,1080154.25,1076967.7949624998,0.9970499999999999,-0.2950000000000119,2024
David Ozoh,"MF,DF",ENG,19,700000.0,718683.0,1033106.8125,1.4375,43.75,2024
James Milner,"DF,MF",ENG,38,1000000.0,979062.3125,1004885.0809921874,1.0263749999999998,2.6374999999999815,2024
Robin Olsen,GK,SWE,34,1000000.0,994945.125,972558.8596874999,0.9774999999999999,-2.2500000000000075,2024
Adam Smith,DF,ENG,33,750000.0,899551.6875,923277.3632578123,1.0263749999999998,2.6374999999999815,2024
Martin Dúbravka,GK,SVK,35,1000000.0,925530.0625,904705.6360937499,0.9774999999999999,-2.2500000000000075,2024
Wes Foderingham,GK,ENG,33,600000.0,920991.125,900268.8246874999,0.9774999999999999,-2.2500000000000075,2024
Remi Matthews,GK,ENG,30,400000.0,795594.625,896635.142375,1.127,12.7,2024
Adam Lallana,"MF,FW",ENG,36,750000.0,894582.0625,874453.96609375,0.9774999999999999,-2.2500000000000075,2024
Jonny Evans,DF,NIR,36,1000000.0,851355.1875,873809.6805703123,1.0263749999999998,2.6374999999999815,2024
Jayden Danns,FW,ENG,18,800000.0,575187.5,843368.6718749999,1.4662499999999998,46.624999999999986,2024
Daniel Gore,MF,ENG,20,800000.0,581384.0625,835739.58984375,1.4375,43.75,2024
Nathan Fraser,FW,IRL,19,600000.0,553971.1875,812260.2536718749,1.4662499999999998,46.624999999999986,2024
Alex Murphy,"DF,FW",IRL,20,300000.0,534784.5,802176.75,1.5,50.0,2024
Ben Mee,DF,ENG,35,700000.0,773911.875,794323.8007031248,1.0263749999999998,2.6374999999999815,2024
Leon Chiwome,FW,ENG,18,700000.0,540780.375,792919.2248437499,1.4662499999999998,46.624999999999986,2024
Mark O'Mahony,FW,IRL,19,500000.0,520820.28125,763652.7373828124,1.4662499999999998,46.624999999999986,2024
Aaron Cresswell,"DF,FW",ENG,35,500000.0,712706.0,731503.6207499999,1.0263749999999998,2.6374999999999815,2024
Joel Ward,DF,ENG,35,500000.0,706524.6875,725159.2761328124,1.0263749999999998,2.6374999999999815,2024
Dominic Sadi,FW,ENG,21,150000.0,495498.34375,685839.077518125,1.38414,38.413999999999994,2024
Joe White,MF,ENG,22,275000.0,494127.96875,670531.6535937499,1.3569999999999998,35.699999999999974,2024
Tawanda Chirewa,"MF,FW",ENG,21,500000.0,478512.0625,649340.8688124999,1.3569999999999998,35.699999999999974,2024
Séamus Coleman,DF,IRL,36,500000.0,594198.5625,609870.5495859374,1.0263749999999998,2.6374999999999815,2024
Ashley Young,"DF,MF",ENG,39,500000.0,455549.8125,467564.9388046874,1.0263749999999998,2.6374999999999815,2024
